ins_name,Phirea_time
data/TSP/RUE/576.tsp,0.029
data/TSP/RUE/577.tsp,0.075
data/TSP/RUE/578.tsp,0.076
data/TSP/RUE/579.tsp,0.061
data/TSP/RUE/58.tsp,0.103
data/TSP/RUE/580.tsp,0.084
data/TSP/RUE/581.tsp,0.06
data/TSP/RUE/582.tsp,0.095
data/TSP/RUE/583.tsp,0.076
data/TSP/RUE/584.tsp,0.049
data/TSP/RUE/585.tsp,0.017
data/TSP/RUE/586.tsp,0.036
data/TSP/RUE/587.tsp,0.042
data/TSP/RUE/588.tsp,0.018
data/TSP/RUE/589.tsp,0.031
data/TSP/RUE/59.tsp,0.041
data/TSP/RUE/590.tsp,0.088
data/TSP/RUE/591.tsp,0.093
data/TSP/RUE/592.tsp,0.024
data/TSP/RUE/593.tsp,0.021
data/TSP/RUE/594.tsp,0.106
data/TSP/RUE/595.tsp,0.069
data/TSP/RUE/596.tsp,0.079
data/TSP/RUE/597.tsp,0.027
data/TSP/RUE/598.tsp,0.042
data/TSP/RUE/599.tsp,0.077
data/TSP/RUE/6.tsp,0.033
data/TSP/RUE/60.tsp,0.069
data/TSP/RUE/600.tsp,0.1
data/TSP/RUE/601.tsp,0.1
data/TSP/RUE/602.tsp,0.09
data/TSP/RUE/603.tsp,0.058
data/TSP/RUE/604.tsp,0.042
data/TSP/RUE/605.tsp,0.031
data/TSP/RUE/606.tsp,0.025
data/TSP/RUE/607.tsp,0.099
data/TSP/RUE/608.tsp,0.078
data/TSP/RUE/609.tsp,0.095
data/TSP/RUE/61.tsp,0.084
data/TSP/RUE/610.tsp,0.03
data/TSP/RUE/611.tsp,0.064
data/TSP/RUE/612.tsp,0.075
data/TSP/RUE/613.tsp,0.083
data/TSP/RUE/614.tsp,0.092
data/TSP/RUE/615.tsp,0.067
data/TSP/RUE/616.tsp,0.065
data/TSP/RUE/617.tsp,0.076
data/TSP/RUE/618.tsp,0.072
data/TSP/RUE/619.tsp,0.024
data/TSP/RUE/62.tsp,0.093
data/TSP/RUE/620.tsp,0.042
data/TSP/RUE/621.tsp,0.022
data/TSP/RUE/622.tsp,0.044
data/TSP/RUE/623.tsp,0.022
data/TSP/RUE/624.tsp,0.027
data/TSP/RUE/625.tsp,0.099
data/TSP/RUE/626.tsp,0.058
data/TSP/RUE/627.tsp,0.063
data/TSP/RUE/628.tsp,0.117
data/TSP/RUE/629.tsp,0.092
data/TSP/RUE/63.tsp,0.02
data/TSP/RUE/630.tsp,0.044
data/TSP/RUE/631.tsp,0.027
data/TSP/RUE/632.tsp,0.026
data/TSP/RUE/633.tsp,0.044
data/TSP/RUE/634.tsp,0.057
data/TSP/RUE/635.tsp,0.035
data/TSP/RUE/636.tsp,0.057
data/TSP/RUE/637.tsp,0.032
data/TSP/RUE/638.tsp,0.037
data/TSP/RUE/639.tsp,0.044
data/TSP/RUE/64.tsp,0.02
data/TSP/RUE/640.tsp,0.085
data/TSP/RUE/641.tsp,0.023
data/TSP/RUE/642.tsp,0.085
data/TSP/RUE/643.tsp,0.098
data/TSP/RUE/644.tsp,0.108
data/TSP/RUE/645.tsp,0.045
data/TSP/RUE/646.tsp,0.033
data/TSP/RUE/647.tsp,0.108
data/TSP/RUE/648.tsp,0.048
data/TSP/RUE/649.tsp,0.111
data/TSP/RUE/65.tsp,0.096
data/TSP/RUE/650.tsp,0.052
data/TSP/RUE/651.tsp,0.102
data/TSP/RUE/652.tsp,0.094
data/TSP/RUE/653.tsp,0.078
data/TSP/RUE/654.tsp,0.075
data/TSP/RUE/655.tsp,0.053
data/TSP/RUE/656.tsp,0.03
data/TSP/RUE/657.tsp,0.101
data/TSP/RUE/658.tsp,0.037
data/TSP/RUE/659.tsp,0.028
data/TSP/RUE/66.tsp,0.043
data/TSP/RUE/660.tsp,0.028
data/TSP/RUE/661.tsp,0.103
data/TSP/RUE/662.tsp,0.024
data/TSP/RUE/663.tsp,0.091
data/TSP/RUE/664.tsp,0.046
data/TSP/RUE/665.tsp,0.091
data/TSP/RUE/666.tsp,0.098
data/TSP/RUE/667.tsp,0.064
data/TSP/RUE/668.tsp,0.084
data/TSP/RUE/669.tsp,0.063
data/TSP/RUE/67.tsp,0.097
data/TSP/RUE/670.tsp,0.081
data/TSP/RUE/671.tsp,0.065
data/TSP/RUE/672.tsp,0.092
data/TSP/RUE/673.tsp,0.094
data/TSP/RUE/674.tsp,0.109
data/TSP/RUE/675.tsp,0.062
data/TSP/RUE/676.tsp,0.051
data/TSP/RUE/677.tsp,0.106
data/TSP/RUE/678.tsp,0.087
data/TSP/RUE/679.tsp,0.038
data/TSP/RUE/68.tsp,0.026
data/TSP/RUE/680.tsp,0.092
data/TSP/RUE/681.tsp,0.025
data/TSP/RUE/682.tsp,0.1
data/TSP/RUE/683.tsp,0.087
data/TSP/RUE/684.tsp,0.111
data/TSP/RUE/685.tsp,0.059
data/TSP/RUE/686.tsp,0.034
data/TSP/RUE/687.tsp,0.045
data/TSP/RUE/688.tsp,0.024
data/TSP/RUE/689.tsp,0.039
data/TSP/RUE/69.tsp,0.021
data/TSP/RUE/690.tsp,0.049
data/TSP/RUE/691.tsp,0.102
data/TSP/RUE/692.tsp,0.074
data/TSP/RUE/693.tsp,0.028
data/TSP/RUE/694.tsp,0.11
data/TSP/RUE/695.tsp,0.029
data/TSP/RUE/696.tsp,0.051
data/TSP/RUE/697.tsp,0.026
data/TSP/RUE/698.tsp,0.094
data/TSP/RUE/699.tsp,0.085
data/TSP/RUE/7.tsp,0.022
data/TSP/RUE/70.tsp,0.085
